title,description,price,discount,release_date,image,video,developer,publisher
Golf It!,"Golf It! is a multiplayer Minigolf game with focus on a dynamic, fun and creative multiplayer experience. One of the most exciting features is a Multiplayer Editor, where you can build and play custom maps together with your friends.",9.99,,2017-02-17,golf_it.jpg,4yFN6IM3wXw,Perfuse Entertainment,Perfuse Entertainment
Grand Theft Auto V,"Launch your supercar from Stunt Ramps, skydive over the Alamo Sea and barrel roll through Air Gates on your way to the finish line - all in the same track with Transform Races, the latest evolution of racing in GTA Online.",69.99,0.5,2015-04-14,grand_theft_auto_v.jpg,hvoD7ehZPcM,Rockstar North,Rockstar Games
PlayerUnknown's Battlegrounds,PLAYERUNKNOWN'S BATTLEGROUNDS is a last-man-standing shooter being developed with community feedback. Players must fight to locate weapons and supplies in a massive 8x8 km island to be the lone survivor. This is BATTLE ROYALE.,36.99,,2017-03-23,playerunknown's_battlegrounds.jpg,ODWCbu_cuqk,"Bluehole, Inc.","Bluehole, Inc."
Poly Bridge,Unleash your engineering creativity with an engaging and fresh bridge-building simulator with all the bells and whistles. Enjoy hours of physics-based puzzle solving in the Campaign and then jump in the Sandbox to create your own bridge designs and puzzles!,12.99,,2016-07-12,poly_bridge.jpg,diS1PyZixh0,Dry Cactus,Dry Cactus
Portal,"Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",10.99,0.9,2007-10-10,portal.jpg,TluRVBhmf8w,Valve,Valve
Portal 2,"The ""Perpetual Testing Initiative"" has been expanded to allow you to design co-op puzzles for you and your friends!",21.99,0.9,2011-04-18,portal_2.jpg,tax4e4hBBZc,Valve,Valve
Redout: Enhanced Edition,"Redout is a tribute to the old racing monsters such as F-Zero, WipeOut, Rollcage, and POD. It is designed to be an uncompromising, fast, tough and satisfying driving experience, soaked in that vertigo that stands at the core of the arcade racing genre.",39.99,,2016-09-02,redout_enhanced_edition.jpg,DoXpQMwIbp4,34BigThings srl,34BigThings srl
Rise of the Tomb Raider,"Rise of the Tomb Raider: 20 Year Celebration includes the base game and Season Pass featuring all-new content. Explore Croft Manor in the new “Blood Ties” story, then defend it against a zombie invasion in “Lara’s Nightmare”.",69.99,,2016-02-09,rise_of_the_tomb_raider.jpg,SDlUfL7uwc0,Crystal Dynamics,Square Enix
Rocket League,"Soccer meets driving once again in the long-awaited, physics-based multiplayer-focused sequel to Supersonic Acrobatic Rocket-Powered Battle-Cars! Choose a variety of high-flying vehicles equipped with huge rocket boosters to score amazing aerial goals and pull-off incredible game-changing saves!",21.99,0.4,2015-07-15,rocket_league.jpg,Vawwy2eu5sA,"Psyonix, Inc.","Psyonix, Inc."
Shadowverse,"Welcome to the fierce battlegrounds of Shadowverse, Japan's #1 competitive card collecting game!",4.99,,2016-10-28,shadowverse.jpg,dUUOqRZ-a1k,"Cygames, Inc.","Cygames, Inc."
Sid Meier's Civilization VI,"Civilization VI offers new ways to interact with your world, expand your empire across the map, advance your culture, and compete against history’s greatest leaders to build a civilization that will stand the test of time. Play as one of 20 historical leaders including Roosevelt (America) and Victoria (England).",79.99,0.33,2016-10-20,sid_meier's_civilization_vi.jpg,5KdE0p2joJw,Firaxis,2K Games
Stardew Valley,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?",16.99,,2016-02-26,stardew_valley.jpg,ot7uXNQskhs,ConcernedApe,Chucklefish
Strider,"Strider returns in a brand new adventure, complete with incredible side-scrolling action, and lightning fast combat all in a massive interconnected world! Download the full game February 19th and become the original assassin!",14.99,,2014-02-19,strider.jpg,0jMwcJI0pEg,Double Helix Games,Capcom
Tekken 7,"Discover the epic conclusion of the long-time clan warfare between members of the Mishima family. Powered by Unreal Engine 4, the legendary fighting game franchise fights back with stunning story-driven cinematic battles and intense duels that can be enjoyed with friends and rivals.",69.99,,2017-06-01,tekken_7.jpg,kKLCwDg2JLA,Bandai Namco Studios Inc.,Bandai Namco Entertainment
The Witcher 3: Wild Hunt,"The Witcher is a story-driven, next-generation open world role-playing game, set in a visually stunning fantasy universe, full of meaningful choices and impactful consequences. In The Witcher, you play as Geralt of Rivia, a monster hunter tasked with finding a child from an ancient prophecy.",55.99,,2015-05-18,the_witcher_3_wild_hunt.jpg,XHrskkHf958,CD Projekt RED,CD Projekt RED
Tom Clancy's Rainbow Six Siege,Tom Clancy's Rainbow Six Siege is the upcoming installment of the acclaimed first-person shooter franchise developed by the renowned Ubisoft Montreal studio.,49.99,,2015-12-01,tom_clancy's_rainbow_six_siege.jpg,KlbLLRdg9u8,Ubisoft Montreal,Ubisoft
Tomb Raider,Tomb Raider explores the intense origin story of Lara Croft and her ascent from a young woman to a hardened survivor.,24.99,,2013-03-04,tomb_raider.jpg,3VmFhs26U2E,Crystal Dynamics,Square Enix
Ultimate Marvel vs. Capcom 3,"Marvel and Capcom join forces to deliver the most frenetic 3 vs 3 tag battles ever with Ultimate Marvel VS Capcom 3. This release comes fully loaded, including all previous DLC, Marvel VS. Capcom : Official Complete Works.",32.99,,2016-12-03,ultimate_marvel_vs_capcom_3.jpg,n5y60VfKjY4,Capcom,Capcom
